Action,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
f,2,3169,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,3257,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,133,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,2465,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
f,0,7217,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
f,1,5369,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
f,2,5413,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6073,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,7261,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,5985,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
r,0,5017,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
f,1,7349,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
f,2,2949,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6821,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
f,4,3741,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
f,0,6953,350.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,200.0
c,1,3741,350.0,f,0.0,f,0.0,f,0.0,f,0.0,r,200.0
f,2,4753,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,6909,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,1189,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,705,350.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,200.0
f,0,353,1050.0,bb,100.0,f,0.0,f,0.0,r,200.0,r,500.0
f,1,2025,1050.0,f,0.0,f,0.0,f,0.0,r,200.0,r,500.0
f,2,3389,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,7085,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,1937,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
r,5,1805,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
f,0,4269,1175.0,bb,100.0,f,0.0,f,0.0,r,225.0,r,575.0
f,1,3917,1175.0,f,0.0,f,0.0,f,0.0,r,225.0,r,575.0
f,2,5325,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5941,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
r,4,3961,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
f,5,6821,350.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,200.0
r,0,177,350.0,bb,100.0,f,0.0,f,0.0,r,200.0,f,0.0
f,1,1233,1300.0,r,750.0,f,0.0,f,0.0,r,200.0,f,0.0
f,2,6469,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
f,3,5193,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
