Raise,Position,Hand,Pot,P1-Action,P1-Bet,P2-Action,P2-Bet,P3-Action,P3-Bet,P4-Action,P4-Bet,P5-Action,P5-Bet
225.0,4,133,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
300.0,0,5017,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,4,1189,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
500.0,5,705,350.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,200.0
225.0,4,1937,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
575.0,5,1805,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
200.0,4,3961,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
750.0,0,177,350.0,bb,100.0,f,0.0,f,0.0,r,200.0,f,0.0
225.0,4,353,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,1277,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,749,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
475.0,5,837,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,f,0.0
200.0,2,1277,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
222.0,5,4533,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
728.0,0,749,372.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,222.0
250.0,5,221,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,5,661,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,4,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,1497,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,2421,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,2,2157,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,3,881,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,45,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
250.0,2,705,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
550.0,4,837,400.0,sb,50.0,bb,100.0,r,250.0,f,0.0,hold,0.0
200.0,3,1717,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
650.0,0,45,350.0,bb,100.0,f,0.0,r,200.0,f,0.0,f,0.0
200.0,4,881,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
950.0,1,133,750.0,c,0.0,f,0.0,f,0.0,r,200.0,c,0.0
250.0,5,3037,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,5,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,2,1013,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
300.0,0,397,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,3,2201,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,4,1145,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,2,397,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,5,2113,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
700.0,0,1321,350.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,200.0
225.0,3,837,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
222.0,5,3301,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
728.0,0,1453,372.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,222.0
250.0,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,2,705,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
475.0,4,749,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,hold,0.0
200.0,2,1145,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
1150.0,1,441,550.0,f,0.0,r,200.0,f,0.0,f,0.0,c,0.0
225.0,3,617,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
475.0,5,1321,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,f,0.0
350.0,1,749,150.0,c,0.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,2,529,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
250.0,5,837,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,1,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,925,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,2553,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
900.0,1,2069,450.0,r,300.0,f,0.0,f,0.0,f,0.0,f,0.0
250.0,5,4973,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,3,1145,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,4,1277,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,2,2817,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,3,2201,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
1025.0,0,485,600.0,bb,100.0,f,0.0,r,225.0,c,0.0,f,0.0
200.0,3,1233,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
900.0,1,2421,350.0,f,0.0,f,0.0,r,200.0,f,0.0,f,0.0
225.0,3,1057,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,265,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
300.0,0,4885,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
200.0,4,4313,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
222.0,5,3301,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
728.0,0,573,372.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,222.0
200.0,2,1,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,1453,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
550.0,0,793,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
225.0,3,1189,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
1175.0,0,1277,600.0,bb,100.0,f,0.0,r,225.0,f,0.0,c,0.0
200.0,5,5017,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
1050.0,1,177,350.0,f,0.0,f,0.0,f,0.0,f,0.0,r,200.0
225.0,4,2113,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,3,485,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
225.0,2,45,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,2201,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1233,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
575.0,5,133,375.0,sb,50.0,bb,100.0,r,225.0,f,0.0,f,0.0
225.0,3,925,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,5,3389,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,2,925,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,265,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
250.0,5,1,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
200.0,4,1673,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,5,221,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,5,837,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
675.0,0,3345,375.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,225.0
225.0,4,1981,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
550.0,0,969,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
225.0,3,2729,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,3,1805,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
250.0,5,1893,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
850.0,0,1145,400.0,bb,100.0,f,0.0,f,0.0,f,0.0,r,250.0
200.0,4,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,485,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,5,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,4,1145,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
200.0,4,3345,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
700.0,1,837,350.0,f,0.0,f,0.0,f,0.0,r,200.0,f,0.0
200.0,3,837,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
200.0,2,221,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,2,1057,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,4,2905,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
475.0,5,2113,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
1550.0,0,1145,1075.0,bb,100.0,f,0.0,f,0.0,r,225.0,r,475.0
300.0,0,5193,150.0,bb,100.0,f,0.0,f,0.0,f,0.0,f,0.0
225.0,4,2465,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
600.0,5,1,375.0,sb,50.0,bb,100.0,f,0.0,f,0.0,r,225.0
200.0,5,441,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,f,0.0
225.0,3,133,150.0,sb,50.0,bb,100.0,f,0.0,hold,0.0,hold,0.0
475.0,4,1453,375.0,sb,50.0,bb,100.0,f,0.0,r,225.0,hold,0.0
225.0,2,441,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,177,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,45,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
775.0,1,749,375.0,f,0.0,f,0.0,f,0.0,r,225.0,f,0.0
200.0,2,1673,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
225.0,2,1717,150.0,sb,50.0,bb,100.0,hold,0.0,hold,0.0,hold,0.0
200.0,4,4401,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
225.0,4,45,150.0,sb,50.0,bb,100.0,f,0.0,f,0.0,hold,0.0
725.0,0,1541,375.0,bb,100.0,f,0.0,f,0.0,r,225.0,f,0.0
2523.0,1,89,1325.0,r,725.0,f,0.0,f,0.0,r,225.0,f,0.0
