wooly bully,sam the sham and the pharaohs
i cant help myself sugar pie honey bunch,four tops
i cant get no satisfaction,the rolling stones
you were on my mind,we five
youve lost that lovin feelin,the righteous brothers
downtown,petula clark
help,the beatles
cant you hear my heart beat,hermans hermits
crying in the chapel,elvis presley
my girl,the temptations
help me rhonda,the beach boys
king of the road,roger miller
the birds and the bees,jewel akens
hold me thrill me kiss me,mel carter
shotgun,junior walker  the all stars
i got you babe,sonny  cher
this diamond ring,gary lewis  the playboys
the in crowd,ramsey lewis trio
mrs brown youve got a lovely daughter,hermans hermits
stop in the name of love,the supremes
unchained melody,the righteous brothers
silhouettes,hermans hermits
ill never find another you,the seekers
cara mia,jay and the americans
mr tambourine man,the byrds
cast your fate to the wind,sounds orchestral
yes im ready,barbara mason
whats new pussycat,tom jones
eve of destruction,barry mcguire
hang on sloopy,the mccoys
ticket to ride,the beatles
red roses for a blue lady,bert kaempfert
papas got a brand new bag,james brown
game of love,wayne fontana  the mindbenders
the name game,shirley ellis
i know a place,petula clark
back in my arms again,the supremes
baby im yours,barbara lewis
the jolly green giant,the kingsmen
hush hush sweet charlotte,patti page
like a rolling stone,bob dylan
im telling you now,freddie and the dreamers
ferry cross the mersey,gerry and the pacemakers
just once in my life,the righteous brothers
the seventh son,johnny rivers
im henery the eighth i am,hermans hermits
a walk in the black forest,horst jankowski
for your love,the yardbirds
california girls,the beach boys
go now,the moody blues
goldfinger,shirley bassey
down in the boondocks,billy joe royal
baby the rain must fall,glenn yarbrough
catch us if you can,the dave clark five
eight days a week,the beatles
just a little,the beau brummels
you turn me on,ian whitcomb
ill be doggone,marvin gaye
save your heart for me,gary lewis  the playboys
tired of waiting for you,the kinks
count me in,gary lewis  the playboys
all day and all of the night,the kinks
what the world needs now is love,jackie deshannon
its not unusual,tom jones
shes about a mover,sir douglas quintet
shake,sam cooke
wonderful world,hermans hermits
nowhere to run,martha and the vandellas
heart full of soul,the yardbirds
love potion no 9,the searchers
laurie strange things happen,dickey lee
baby dont go,sonny  cher
it aint me babe,the turtles
tell her no,the zombies
i go to pieces,peter and gordon
red roses for a blue lady,vic dana
dont just stand there,patty duke
the tracks of my tears,the miracles
too many rivers,brenda lee
i like it like that,the dave clark five
little things,bobby goldsboro
true love ways,peter and gordon
its the same old song,four tops
youve got your troubles,the fortunes
hold what youve got,joe tex
we gotta get out of this place,the animals
laugh laugh,the beau brummels
the last time,the rolling stones
do you believe in magic,the lovin spoonful
all i really want to do,cher
take me back,little anthony and the imperials
i want candy,the strangeloves
ooo baby baby,the miracles
laugh at me,sonny bono
treat her right,roy head
the race is on,jack jones
im a fool,dino desi  billy
the boy from new york city,the ad libs
keep searchin well follow the sun,del shannon
how sweet it is to be loved by you,marvin gaye
ballad of the green berets,ssgt barry sadler
cherish,the association
youre my soul and inspiration,the righteous brothers
reach out ill be there,the four tops
96 tears,  the mysterians
last train to clarksville,the monkees
monday monday,the mamas  the papas
you cant hurry love,the supremes
poor side of town,johnny rivers
california dreamin,the mamas  the papas
summer in the city,lovin spoonful
born free,roger williams
these boots are made for walkin,nancy sinatra
